dataset,mistakes,total,config.EDGE_DETECTION.APERTURE,config.EDGE_DETECTION.HIGH_THRESHOLD,config.EDGE_DETECTION.LOW_THRESHOLD,config.LINE_DETECTION.THRESHOLD,config.LINE_REFINEMENT.LINE_THRESHOLD,config.MAX_OUTLIER_INTERSECTION_POINT_RATIO_PER_LINE,config.RANSAC.BEST_SOLUTION_TOLERANCE,config.RANSAC.OFFSET_TOLERANCE
VAL,105,146,3,300,130,250,3,0.7,0.1,0.05
VAL,1,146,3,300,120,150,3,0.7,0.1,0.1
VAL,97,146,3,200,100,200,3,0.7,0.1,0.15000000000000002
VAL,22,146,3,500,130,200,3,0.7,0.1,0.1
VAL,8,146,3,400,90,100,3,0.5,0.1,0.2
VAL,4,146,3,400,110,150,3,0.5,0.1,0.05
VAL,7,146,3,350,90,200,3,0.7,0.1,0.05
VAL,138,146,3,150,90,100,3,0.7,0.1,0.15000000000000002
VAL,109,146,3,500,80,250,3,0.7,0.1,0.15000000000000002
VAL,10,146,3,450,140,100,3,0.5,0.1,0.1
VAL,85,146,3,200,120,200,3,0.7,0.1,0.1
VAL,109,146,3,350,110,250,3,0.5,0.1,0.15000000000000002
VAL,113,146,3,500,100,250,3,0.5,0.1,0.15000000000000002
VAL,110,146,3,500,100,250,3,0.5,0.1,0.05
VAL,12,146,3,400,100,150,3,0.7,0.1,0.05
VAL,18,146,3,300,100,150,3,0.5,0.1,0.15000000000000002
VAL,90,146,3,150,140,100,3,0.7,0.1,0.2
VAL,129,146,3,150,140,250,3,0.7,0.1,0.2
VAL,12,146,3,250,140,150,3,0.7,0.1,0.15000000000000002
VAL,82,146,3,150,150,100,3,0.7,0.1,0.1
VAL,8,146,3,350,80,100,3,0.7,0.1,0.15000000000000002
VAL,74,146,3,200,140,100,3,0.5,0.1,0.05
VAL,106,146,3,150,120,200,3,0.7,0.1,0.05
VAL,120,146,3,150,100,200,3,0.5,0.1,0.1
VAL,54,146,3,450,140,200,3,0.7,0.1,0.2
VAL,36,146,3,400,150,200,3,0.5,0.1,0.15000000000000002
VAL,123,146,3,150,100,150,3,0.7,0.1,0.05
VAL,16,146,3,350,80,150,3,0.5,0.1,0.1
VAL,90,146,3,250,130,100,3,0.7,0.1,0.05
VAL,35,146,3,400,150,150,3,0.7,0.1,0.2
VAL,89,146,3,200,90,150,3,0.7,0.1,0.1
VAL,103,146,3,350,130,250,3,0.7,0.1,0.1
VAL,5,146,3,500,90,150,3,0.5,0.1,0.15000000000000002
VAL,2,146,3,400,100,200,3,0.7,0.1,0.1
VAL,143,146,3,150,100,100,3,0.7,0.1,0.05
VAL,92,146,3,300,130,250,3,0.5,0.1,0.05
VAL,70,146,3,250,90,150,3,0.7,0.1,0.1
VAL,33,146,3,400,140,200,3,0.5,0.1,0.15000000000000002
VAL,6,146,3,300,150,150,3,0.5,0.1,0.1
VAL,92,146,3,250,120,100,3,0.7,0.1,0.05
VAL,26,146,3,450,80,150,3,0.7,0.1,0.2
VAL,86,146,3,350,80,250,3,0.7,0.1,0.1
VAL,108,146,3,350,140,250,3,0.7,0.1,0.1
VAL,8,146,3,500,100,150,3,0.5,0.1,0.15000000000000002
VAL,140,146,3,100,100,200,3,0.7,0.1,0.1
VAL,142,146,3,150,110,100,3,0.7,0.1,0.05
VAL,95,146,3,300,140,250,3,0.5,0.1,0.05
VAL,53,146,3,250,100,150,3,0.7,0.1,0.1
VAL,131,146,3,150,130,250,3,0.7,0.1,0.2
VAL,20,146,3,250,130,150,3,0.7,0.1,0.15000000000000002
VAL,89,146,3,150,140,100,3,0.7,0.1,0.1
VAL,5,146,3,350,90,100,3,0.7,0.1,0.15000000000000002
VAL,50,146,3,300,80,200,3,0.7,0.1,0.1
VAL,53,146,3,200,150,100,3,0.5,0.1,0.05
VAL,96,146,3,150,130,200,3,0.7,0.1,0.05
VAL,113,146,3,150,110,200,3,0.5,0.1,0.1
VAL,62,146,3,450,150,200,3,0.7,0.1,0.2
VAL,95,146,3,250,120,250,3,0.7,0.1,0.1
VAL,129,146,3,450,150,250,3,0.7,0.1,0.15000000000000002
VAL,10,146,3,450,150,100,3,0.5,0.1,0.1
VAL,79,146,3,200,130,200,3,0.7,0.1,0.1
VAL,109,146,3,350,120,250,3,0.5,0.1,0.15000000000000002
VAL,9,146,3,450,140,150,3,0.7,0.1,0.1
VAL,109,146,3,500,90,250,3,0.5,0.1,0.15000000000000002
VAL,103,146,3,500,90,250,3,0.5,0.1,0.05
VAL,12,146,3,400,90,150,3,0.7,0.1,0.05
VAL,34,146,3,300,90,150,3,0.5,0.1,0.15000000000000002
VAL,146,146,3,450,100,50,3,0.7,0.1,0.05
VAL,72,146,3,150,150,100,3,0.7,0.1,0.2
VAL,96,146,3,150,130,200,3,0.5,0.1,0.05
VAL,110,146,3,300,140,250,3,0.7,0.1,0.05
VAL,90,146,3,200,110,200,3,0.7,0.1,0.15000000000000002
VAL,146,146,3,100,90,50,3,0.7,0.1,0.15000000000000002
VAL,11,146,3,400,80,100,3,0.5,0.1,0.2
VAL,16,146,3,350,80,200,3,0.7,0.1,0.05
VAL,141,146,3,150,80,100,3,0.7,0.1,0.15000000000000002
VAL,146,146,3,450,140,50,3,0.7,0.1,0.05
VAL,105,146,3,250,120,250,3,0.5,0.1,0.15000000000000002
VAL,96,146,3,200,90,200,3,0.7,0.1,0.1
VAL,1,146,3,500,110,100,3,0.5,0.1,0.1
VAL,87,146,3,200,110,100,3,0.7,0.1,0.2
VAL,70,146,3,250,90,150,3,0.5,0.1,0.15000000000000002
VAL,123,146,3,300,130,250,3,0.5,0.1,0.2
VAL,17,146,3,450,90,150,3,0.7,0.1,0.05
VAL,119,146,3,150,100,100,3,0.5,0.1,0.1
VAL,1,146,3,500,90,150,3,0.7,0.1,0.1
VAL,15,146,3,500,140,150,3,0.7,0.1,0.15000000000000002
VAL,98,146,3,350,100,250,3,0.7,0.1,0.05
VAL,112,146,3,500,110,250,3,0.7,0.1,0.1
VAL,24,146,3,450,140,100,3,0.5,0.1,0.05
VAL,7,146,3,400,120,200,3,0.7,0.1,0.05
VAL,4,146,3,400,100,200,3,0.5,0.1,0.1
VAL,110,146,3,150,110,150,3,0.7,0.1,0.1
VAL,94,146,3,200,140,200,3,0.7,0.1,0.2
VAL,5,146,3,350,120,200,3,0.7,0.1,0.1
VAL,30,146,3,350,120,150,3,0.7,0.1,0.2
VAL,10,146,3,500,140,150,3,0.7,0.1,0.1
VAL,146,146,3,100,80,100,3,0.5,0.1,0.05
